snapshot_date,tag,published_at,asset,download_count,size
2026-04-19,"v0.14.0","2026-04-18T23:17:05Z","Kirodex-0.14.0-1.x86_64.rpm",1,6343655
2026-04-19,"v0.14.0","2026-04-18T23:17:05Z","Kirodex-0.14.0-1.x86_64.rpm.sig",1,416
2026-04-19,"v0.14.0","2026-04-18T23:17:05Z","Kirodex_0.14.0_aarch64.dmg",4,5170948
2026-04-19,"v0.14.0","2026-04-18T23:17:05Z","Kirodex_0.14.0_amd64.AppImage",2,85645816
2026-04-19,"v0.14.0","2026-04-18T23:17:05Z","Kirodex_0.14.0_amd64.AppImage.sig",1,420
2026-04-19,"v0.14.0","2026-04-18T23:17:05Z","Kirodex_0.14.0_amd64.AppImage.tar.gz",1,84965895
2026-04-19,"v0.14.0","2026-04-18T23:17:05Z","Kirodex_0.14.0_amd64.AppImage.tar.gz.sig",1,428
2026-04-19,"v0.14.0","2026-04-18T23:17:05Z","Kirodex_0.14.0_amd64.deb",1,6343416
2026-04-19,"v0.14.0","2026-04-18T23:17:05Z","Kirodex_0.14.0_amd64.deb.sig",1,412
2026-04-19,"v0.14.0","2026-04-18T23:17:05Z","Kirodex_0.14.0_x64-setup.exe",0,4510164
2026-04-19,"v0.14.0","2026-04-18T23:17:05Z","Kirodex_0.14.0_x64-setup.exe.sig",0,420
2026-04-19,"v0.14.0","2026-04-18T23:17:05Z","Kirodex_0.14.0_x64-setup.nsis.zip",0,4510318
2026-04-19,"v0.14.0","2026-04-18T23:17:05Z","Kirodex_0.14.0_x64-setup.nsis.zip.sig",0,424
2026-04-19,"v0.14.0","2026-04-18T23:17:05Z","Kirodex_0.14.0_x64_en-US.msi",0,5910528
2026-04-19,"v0.14.0","2026-04-18T23:17:05Z","Kirodex_0.14.0_x64_en-US.msi.sig",0,420
2026-04-19,"v0.14.0","2026-04-18T23:17:05Z","Kirodex_0.14.0_x64_en-US.msi.zip",0,5910682
2026-04-19,"v0.14.0","2026-04-18T23:17:05Z","Kirodex_0.14.0_x64_en-US.msi.zip.sig",0,424
2026-04-19,"v0.14.0","2026-04-18T23:17:05Z","Kirodex_aarch64.app.tar.gz",1,5311379
2026-04-19,"v0.14.0","2026-04-18T23:17:05Z","Kirodex_aarch64.app.tar.gz.sig",1,404
2026-04-19,"v0.14.0","2026-04-18T23:17:05Z","latest.json",31,6200
2026-04-19,"v0.13.0","2026-04-18T14:14:59Z","Kirodex-0.13.0-1.x86_64.rpm",0,5961199
2026-04-19,"v0.13.0","2026-04-18T14:14:59Z","Kirodex-0.13.0-1.x86_64.rpm.sig",0,416
2026-04-19,"v0.13.0","2026-04-18T14:14:59Z","Kirodex_0.13.0_aarch64.dmg",2,4838126
2026-04-19,"v0.13.0","2026-04-18T14:14:59Z","Kirodex_0.13.0_amd64.AppImage",0,85289464
2026-04-19,"v0.13.0","2026-04-18T14:14:59Z","Kirodex_0.13.0_amd64.AppImage.sig",0,420
2026-04-19,"v0.13.0","2026-04-18T14:14:59Z","Kirodex_0.13.0_amd64.AppImage.tar.gz",0,84610774
2026-04-19,"v0.13.0","2026-04-18T14:14:59Z","Kirodex_0.13.0_amd64.AppImage.tar.gz.sig",0,428
2026-04-19,"v0.13.0","2026-04-18T14:14:59Z","Kirodex_0.13.0_amd64.deb",0,5961276
2026-04-19,"v0.13.0","2026-04-18T14:14:59Z","Kirodex_0.13.0_amd64.deb.sig",0,412
2026-04-19,"v0.13.0","2026-04-18T14:14:59Z","Kirodex_0.13.0_x64-setup.exe",1,4224982
2026-04-19,"v0.13.0","2026-04-18T14:14:59Z","Kirodex_0.13.0_x64-setup.exe.sig",0,420
2026-04-19,"v0.13.0","2026-04-18T14:14:59Z","Kirodex_0.13.0_x64-setup.nsis.zip",0,4225136
2026-04-19,"v0.13.0","2026-04-18T14:14:59Z","Kirodex_0.13.0_x64-setup.nsis.zip.sig",0,424
